method,uri,route_name,controller,action,authentication,active_user_guard,role_guard,company_guard,form_request,policy,service,pagination,rate_limit,feature_test,postman_request,documentation,audit_status,notes
"POST","/api/v1/admin/skills","v1.admin.skills.store","App\Http\Controllers\Api\V1\Admin\AdminSkillController","store","Sanctum","EnsureUserIsActive","AdminMiddleware","none","action-specific FormRequest or no body","none/route middleware","AdminSkillService/domain services","not applicable/endpoint-specific","none","tests/Feature/Api/V1/AdminApiTest.php","yes","BACKEND_IMPLEMENTATION_REPORT.md","PASS",""
"PATCH","/api/v1/admin/skills/{skill}","v1.admin.skills.patch","App\Http\Controllers\Api\V1\Admin\AdminSkillController","update","Sanctum","EnsureUserIsActive","AdminMiddleware","none","action-specific FormRequest or no body","none/route middleware","AdminSkillService/domain services","not applicable/endpoint-specific","none","tests/Feature/Api/V1/AdminApiTest.php","yes","BACKEND_IMPLEMENTATION_REPORT.md","PASS",""
"PUT","/api/v1/admin/skills/{skill}","v1.admin.skills.update","App\Http\Controllers\Api\V1\Admin\AdminSkillController","update","Sanctum","EnsureUserIsActive","AdminMiddleware","none","action-specific FormRequest or no body","none/route middleware","AdminSkillService/domain services","not applicable/endpoint-specific","none","tests/Feature/Api/V1/AdminApiTest.php","no","BACKEND_IMPLEMENTATION_REPORT.md","REVIEW","No normalized Postman method/path match"
"DELETE","/api/v1/admin/skills/{skill}","v1.admin.skills.destroy","App\Http\Controllers\Api\V1\Admin\AdminSkillController","destroy","Sanctum","EnsureUserIsActive","AdminMiddleware","none","action-specific FormRequest or no body","none/route middleware","AdminSkillService/domain services","not applicable/endpoint-specific","none","tests/Feature/Api/V1/AdminApiTest.php","yes","BACKEND_IMPLEMENTATION_REPORT.md","PASS",""
"GET","/api/v1/admin/tests","v1.admin.tests.index","App\Http\Controllers\Api\V1\Admin\AdminTestController","index","Sanctum","EnsureUserIsActive","AdminMiddleware","none","action-specific FormRequest or no body","none/route middleware","AdminTestService/domain services","expected; implementation-specific","none","tests/Feature/Api/V1/AdminApiTest.php","yes","BACKEND_IMPLEMENTATION_REPORT.md","PASS",""
"POST","/api/v1/admin/tests","v1.admin.tests.store","App\Http\Controllers\Api\V1\Admin\AdminTestController","store","Sanctum","EnsureUserIsActive","AdminMiddleware","none","action-specific FormRequest or no body","none/route middleware","AdminTestService/domain services","not applicable/endpoint-specific","none","tests/Feature/Api/V1/AdminApiTest.php","yes","BACKEND_IMPLEMENTATION_REPORT.md","PASS",""
"PUT","/api/v1/admin/tests/{test}","v1.admin.tests.update","App\Http\Controllers\Api\V1\Admin\AdminTestController","update","Sanctum","EnsureUserIsActive","AdminMiddleware","none","action-specific FormRequest or no body","none/route middleware","AdminTestService/domain services","not applicable/endpoint-specific","none","tests/Feature/Api/V1/AdminApiTest.php","yes","BACKEND_IMPLEMENTATION_REPORT.md","PASS",""
"DELETE","/api/v1/admin/tests/{test}","v1.admin.tests.destroy","App\Http\Controllers\Api\V1\Admin\AdminTestController","destroy","Sanctum","EnsureUserIsActive","AdminMiddleware","none","action-specific FormRequest or no body","none/route middleware","AdminTestService/domain services","not applicable/endpoint-specific","none","tests/Feature/Api/V1/AdminApiTest.php","yes","BACKEND_IMPLEMENTATION_REPORT.md","PASS",""
"GET","/api/v1/admin/users","v1.admin.users.index","App\Http\Controllers\Api\V1\Admin\AdminUserController","index","Sanctum","EnsureUserIsActive","AdminMiddleware","none","action-specific FormRequest or no body","none/route middleware","AdminUserService/domain services","expected; implementation-specific","none","tests/Feature/Api/V1/AdminApiTest.php","no","BACKEND_IMPLEMENTATION_REPORT.md","REVIEW","No normalized Postman method/path match"
"GET","/api/v1/admin/users/{user}","v1.admin.users.show","App\Http\Controllers\Api\V1\Admin\AdminUserController","show","Sanctum","EnsureUserIsActive","AdminMiddleware","none","action-specific FormRequest or no body","none/route middleware","AdminUserService/domain services","not applicable/endpoint-specific","none","tests/Feature/Api/V1/AdminApiTest.php","yes","BACKEND_IMPLEMENTATION_REPORT.md","PASS",""
"PATCH","/api/v1/admin/users/{user}/activate","v1.admin.users.activate","App\Http\Controllers\Api\V1\Admin\AdminUserController","activate","Sanctum","EnsureUserIsActive","AdminMiddleware","none","action-specific FormRequest or no body","none/route middleware","AdminUserService/domain services","not applicable/endpoint-specific","none","tests/Feature/Api/V1/AdminApiTest.php","yes","BACKEND_IMPLEMENTATION_REPORT.md","PASS",""
"PATCH","/api/v1/admin/users/{user}/role","v1.admin.users.role","App\Http\Controllers\Api\V1\Admin\AdminUserController","updateRole","Sanctum","EnsureUserIsActive","AdminMiddleware","none","action-specific FormRequest or no body","none/route middleware","AdminUserService/domain services","not applicable/endpoint-specific","none","tests/Feature/Api/V1/AdminApiTest.php","no","BACKEND_IMPLEMENTATION_REPORT.md","REVIEW","No normalized Postman method/path match"
"PATCH","/api/v1/admin/users/{user}/status","v1.admin.users.status","App\Http\Controllers\Api\V1\Admin\AdminUserController","updateStatus","Sanctum","EnsureUserIsActive","AdminMiddleware","none","action-specific FormRequest or no body","none/route middleware","AdminUserService/domain services","not applicable/endpoint-specific","none","tests/Feature/Api/V1/AdminApiTest.php","yes","BACKEND_IMPLEMENTATION_REPORT.md","PASS",""
"PATCH","/api/v1/admin/users/{user}/suspend","v1.admin.users.suspend","App\Http\Controllers\Api\V1\Admin\AdminUserController","suspend","Sanctum","EnsureUserIsActive","AdminMiddleware","none","action-specific FormRequest or no body","none/route middleware","AdminUserService/domain services","not applicable/endpoint-specific","none","tests/Feature/Api/V1/AdminApiTest.php","yes","BACKEND_IMPLEMENTATION_REPORT.md","PASS",""
"GET","/api/v1/application-internal-notes/{note}","v1.application-internal-notes.show","App\Http\Controllers\Api\V1\Application\ApplicationInternalNoteController","show","Sanctum","EnsureUserIsActive","FormRequest/policy/service role checks","none","action-specific FormRequest or no body","FormRequest/policy/service authorization","ApplicationInternalNoteService/domain services","not applicable/endpoint-specific","none","tests/Feature/Api/V1/ApplicationInternalNoteTest.php","yes","BACKEND_IMPLEMENTATION_REPORT.md","PASS",""
"PATCH","/api/v1/application-internal-notes/{note}","v1.application-internal-notes.update","App\Http\Controllers\Api\V1\Application\ApplicationInternalNoteController","update","Sanctum","EnsureUserIsActive","FormRequest/policy/service role checks","none","action-specific FormRequest or no body","FormRequest/policy/service authorization","ApplicationInternalNoteService/domain services","not applicable/endpoint-specific","none","tests/Feature/Api/V1/ApplicationInternalNoteTest.php","yes","BACKEND_IMPLEMENTATION_REPORT.md","PASS",""
"DELETE","/api/v1/application-internal-notes/{note}","v1.application-internal-notes.destroy","App\Http\Controllers\Api\V1\Application\ApplicationInternalNoteController","destroy","Sanctum","EnsureUserIsActive","FormRequest/policy/service role checks","none","action-specific FormRequest or no body","FormRequest/policy/service authorization","ApplicationInternalNoteService/domain services","not applicable/endpoint-specific","none","tests/Feature/Api/V1/ApplicationInternalNoteTest.php","yes","BACKEND_IMPLEMENTATION_REPORT.md","PASS",""
"GET","/api/v1/application-internal-notes/{note}/revisions","v1.application-internal-notes.revisions.index","App\Http\Controllers\Api\V1\Application\ApplicationInternalNoteController","revisions","Sanctum","EnsureUserIsActive","FormRequest/policy/service role checks","none","action-specific FormRequest or no body","FormRequest/policy/service authorization","ApplicationInternalNoteService/domain services","not applicable/endpoint-specific","none","tests/Feature/Api/V1/ApplicationInternalNoteTest.php","yes","BACKEND_IMPLEMENTATION_REPORT.md","PASS",""
"GET","/api/v1/applications/my","v1.applications.my","App\Http\Controllers\Api\V1\Application\JobApplicationController","my","Sanctum","EnsureUserIsActive","FormRequest/policy/service role checks","EnsureCompanyApproved","action-specific FormRequest or no body","FormRequest/policy/service authorization","JobApplicationService/domain services","expected; implementation-specific","none","tests/Feature/Api/V1/JobApplicationTest.php; tests/Feature/Api/V1/ApplicationPrivacyTest.php","yes","BACKEND_IMPLEMENTATION_REPORT.md","PASS",""
"GET","/api/v1/applications/{jobApplication}","v1.applications.show","App\Http\Controllers\Api\V1\Application\JobApplicationController","show","Sanctum","EnsureUserIsActive","FormRequest/policy/service role checks","EnsureCompanyApproved","action-specific FormRequest or no body","FormRequest/policy/service authorization","JobApplicationService/domain services","expected; implementation-specific","none","tests/Feature/Api/V1/JobApplicationTest.php; tests/Feature/Api/V1/ApplicationPrivacyTest.php","yes","BACKEND_IMPLEMENTATION_REPORT.md","PASS",""
"POST","/api/v1/applications/{jobApplication}/assign-test","v1.applications.tests.assign","App\Http\Controllers\Api\V1\Test\TestAssignmentController","assign","Sanctum","EnsureUserIsActive","FormRequest/policy/service role checks","EnsureCompanyApproved","action-specific FormRequest or no body","FormRequest/policy/service authorization","TestAssignmentService/domain services","not applicable/endpoint-specific","none","tests/Feature/Api/V1/TestModuleTest.php","yes","BACKEND_IMPLEMENTATION_REPORT.md","PASS",""
"GET","/api/v1/applications/{jobApplication}/cv/download","v1.applications.cv.download","App\Http\Controllers\Api\V1\Application\JobApplicationController","downloadCV","Sanctum","EnsureUserIsActive","FormRequest/policy/service role checks","none","action-specific FormRequest or no body","FormRequest/policy/service authorization","JobApplicationService/domain services","expected; implementation-specific","none","tests/Feature/Api/V1/CVTest.php; tests/Feature/Api/V1/PrimaryCVTest.php","yes","BACKEND_IMPLEMENTATION_REPORT.md","PASS",""
"GET","/api/v1/applications/{jobApplication}/information-requests","v1.applications.information-requests.index","App\Http\Controllers\Api\V1\Application\ApplicationInformationRequestController","index","Sanctum","EnsureUserIsActive","FormRequest/policy/service role checks","none","action-specific FormRequest or no body","FormRequest/policy/service authorization","ApplicationInformationRequestService/domain services","expected; implementation-specific","none","tests/Feature/Api/V1/ApplicationInformationRequestTest.php","yes","BACKEND_IMPLEMENTATION_REPORT.md","PASS",""
"POST","/api/v1/applications/{jobApplication}/information-requests","v1.applications.information-requests.store","App\Http\Controllers\Api\V1\Application\ApplicationInformationRequestController","store","Sanctum","EnsureUserIsActive","FormRequest/policy/service role checks","none","action-specific FormRequest or no body","FormRequest/policy/service authorization","ApplicationInformationRequestService/domain services","not applicable/endpoint-specific","none","tests/Feature/Api/V1/ApplicationInformationRequestTest.php","yes","BACKEND_IMPLEMENTATION_REPORT.md","PASS",""
"GET","/api/v1/applications/{jobApplication}/internal-notes","v1.applications.internal-notes.index","App\Http\Controllers\Api\V1\Application\ApplicationInternalNoteController","index","Sanctum","EnsureUserIsActive","FormRequest/policy/service role checks","none","action-specific FormRequest or no body","FormRequest/policy/service authorization","ApplicationInternalNoteService/domain services","expected; implementation-specific","none","tests/Feature/Api/V1/ApplicationInternalNoteTest.php","yes","BACKEND_IMPLEMENTATION_REPORT.md","PASS",""
"POST","/api/v1/applications/{jobApplication}/internal-notes","v1.applications.internal-notes.store","App\Http\Controllers\Api\V1\Application\ApplicationInternalNoteController","store","Sanctum","EnsureUserIsActive","FormRequest/policy/service role checks","none","action-specific FormRequest or no body","FormRequest/policy/service authorization","ApplicationInternalNoteService/domain services","not applicable/endpoint-specific","none","tests/Feature/Api/V1/ApplicationInternalNoteTest.php","yes","BACKEND_IMPLEMENTATION_REPORT.md","PASS",""
"POST","/api/v1/applications/{jobApplication}/interviews","v1.applications.interviews.store","App\Http\Controllers\Api\V1\Interview\InterviewController","store","Sanctum","EnsureUserIsActive","FormRequest/policy/service role checks","EnsureCompanyApproved","action-specific FormRequest or no body","FormRequest/policy/service authorization","InterviewService/domain services","not applicable/endpoint-specific","none","tests/Feature/Api/V1/InterviewLifecycleTest.php; tests/Feature/Api/V1/InterviewPrivacyTest.php","yes","BACKEND_IMPLEMENTATION_REPORT.md","PASS",""
"GET","/api/v1/applications/{jobApplication}/interviews","v1.applications.interviews.index","App\Http\Controllers\Api\V1\Interview\InterviewController","indexByApplication","Sanctum","EnsureUserIsActive","FormRequest/policy/service role checks","EnsureCompanyApproved","action-specific FormRequest or no body","FormRequest/policy/service authorization","InterviewService/domain services","expected; implementation-specific","none","tests/Feature/Api/V1/InterviewLifecycleTest.php; tests/Feature/Api/V1/InterviewPrivacyTest.php","yes","BACKEND_IMPLEMENTATION_REPORT.md","PASS",""
"POST","/api/v1/applications/{jobApplication}/status","v1.applications.status","App\Http\Controllers\Api\V1\Application\JobApplicationController","changeStatus","Sanctum","EnsureUserIsActive","FormRequest/policy/service role checks","EnsureCompanyApproved","action-specific FormRequest or no body","FormRequest/policy/service authorization","JobApplicationService/domain services","not applicable/endpoint-specific","none","tests/Feature/Api/V1/JobApplicationTest.php; tests/Feature/Api/V1/ApplicationPrivacyTest.php","yes","BACKEND_IMPLEMENTATION_REPORT.md","PASS",""
"GET","/api/v1/applications/{jobApplication}/tests","v1.applications.tests.index","App\Http\Controllers\Api\V1\Test\TestAssignmentController","indexByApplication","Sanctum","EnsureUserIsActive","FormRequest/policy/service role checks","EnsureCompanyApproved","action-specific FormRequest or no body","FormRequest/policy/service authorization","TestAssignmentService/domain services","expected; implementation-specific","none","tests/Feature/Api/V1/TestModuleTest.php","yes","BACKEND_IMPLEMENTATION_REPORT.md","PASS",""
"POST","/api/v1/applications/{jobApplication}/withdraw","v1.applications.withdraw","App\Http\Controllers\Api\V1\Application\JobApplicationController","withdraw","Sanctum","EnsureUserIsActive","FormRequest/policy/service role checks","EnsureCompanyApproved","action-specific FormRequest or no body","FormRequest/policy/service authorization","JobApplicationService/domain services","not applicable/endpoint-specific","none","tests/Feature/Api/V1/JobApplicationTest.php; tests/Feature/Api/V1/ApplicationPrivacyTest.php","yes","BACKEND_IMPLEMENTATION_REPORT.md","PASS",""
"POST","/api/v1/applications/{jobPosting}","v1.applications.store","App\Http\Controllers\Api\V1\Application\JobApplicationController","store","Sanctum","EnsureUserIsActive","FormRequest/policy/service role checks","EnsureCompanyApproved","action-specific FormRequest or no body","FormRequest/policy/service authorization","JobApplicationService/domain services","not applicable/endpoint-specific","none","tests/Feature/Api/V1/JobApplicationTest.php; tests/Feature/Api/V1/ApplicationPrivacyTest.php","yes","BACKEND_IMPLEMENTATION_REPORT.md","PASS",""
"POST","/api/v1/auth/change-password","v1.auth.change-password","App\Http\Controllers\Api\V1\Auth\AuthController","changePassword","Sanctum","EnsureUserIsActive","FormRequest/policy/service role checks","none","action-specific FormRequest or no body","FormRequest/policy/service authorization","AuthService/domain services","not applicable/endpoint-specific","none","tests/Feature/Api/V1/AuthTest.php; tests/Feature/Api/V1/AccountStateTest.php","yes","BACKEND_IMPLEMENTATION_REPORT.md","PASS",""
"POST","/api/v1/auth/forgot-password","v1.auth.forgot-password","App\Http\Controllers\Api\V1\Auth\AuthController","forgotPassword","public","none","none","none","action-specific FormRequest or no body","none/route middleware","AuthService/domain services","not applicable/endpoint-specific","none","tests/Feature/Api/V1/AuthTest.php; tests/Feature/Api/V1/AccountStateTest.php","yes","BACKEND_IMPLEMENTATION_REPORT.md","PASS","Public route"
"POST","/api/v1/auth/login","v1.auth.login","App\Http\Controllers\Api\V1\Auth\AuthController","login","public","none","none","none","action-specific FormRequest or no body","none/route middleware","AuthService/domain services","not applicable/endpoint-specific","none","tests/Feature/Api/V1/AuthTest.php; tests/Feature/Api/V1/AccountStateTest.php","yes","BACKEND_IMPLEMENTATION_REPORT.md","PASS","Public route"
"POST","/api/v1/auth/logout","v1.auth.logout","App\Http\Controllers\Api\V1\Auth\AuthController","logout","Sanctum","EnsureUserIsActive","FormRequest/policy/service role checks","none","action-specific FormRequest or no body","FormRequest/policy/service authorization","AuthService/domain services","not applicable/endpoint-specific","none","tests/Feature/Api/V1/AuthTest.php; tests/Feature/Api/V1/AccountStateTest.php","yes","BACKEND_IMPLEMENTATION_REPORT.md","PASS",""
"POST","/api/v1/auth/logout-all","v1.auth.logout-all","App\Http\Controllers\Api\V1\Auth\AuthController","logoutAll","Sanctum","EnsureUserIsActive","FormRequest/policy/service role checks","none","action-specific FormRequest or no body","FormRequest/policy/service authorization","AuthService/domain services","not applicable/endpoint-specific","none","tests/Feature/Api/V1/AuthTest.php; tests/Feature/Api/V1/AccountStateTest.php","yes","BACKEND_IMPLEMENTATION_REPORT.md","PASS",""
"GET","/api/v1/auth/me","v1.auth.me","App\Http\Controllers\Api\V1\Auth\AuthController","me","Sanctum","EnsureUserIsActive","FormRequest/policy/service role checks","none","action-specific FormRequest or no body","FormRequest/policy/service authorization","AuthService/domain services","not applicable/endpoint-specific","none","tests/Feature/Api/V1/AuthTest.php; tests/Feature/Api/V1/AccountStateTest.php","yes","BACKEND_IMPLEMENTATION_REPORT.md","PASS",""
"POST","/api/v1/auth/register/employer","v1.auth.register.employer","App\Http\Controllers\Api\V1\Auth\RegistrationController","registerEmployer","public","none","none","none","action-specific FormRequest or no body","none/route middleware","RegistrationService/domain services","not applicable/endpoint-specific","none","tests/Feature/Api/V1/AuthTest.php","yes","BACKEND_IMPLEMENTATION_REPORT.md","PASS","Public route"
"POST","/api/v1/auth/register/job-seeker","v1.auth.register.job-seeker","App\Http\Controllers\Api\V1\Auth\RegistrationController","registerJobSeeker","public","none","none","none","action-specific FormRequest or no body","none/route middleware","RegistrationService/domain services","not applicable/endpoint-specific","none","tests/Feature/Api/V1/AuthTest.php","yes","BACKEND_IMPLEMENTATION_REPORT.md","PASS","Public route"
"POST","/api/v1/auth/reset-password","v1.auth.reset-password","App\Http\Controllers\Api\V1\Auth\AuthController","resetPassword","public","none","none","none","action-specific FormRequest or no body","none/route middleware","AuthService/domain services","not applicable/endpoint-specific","none","tests/Feature/Api/V1/AuthTest.php; tests/Feature/Api/V1/AccountStateTest.php","yes","BACKEND_IMPLEMENTATION_REPORT.md","PASS","Public route"
"GET","/api/v1/company","v1.company.show","App\Http\Controllers\Api\V1\Profile\CompanyController","show","Sanctum","EnsureUserIsActive","FormRequest/policy/service role checks","none","action-specific FormRequest or no body","FormRequest/policy/service authorization","CompanyService/domain services","not applicable/endpoint-specific","none","tests/Feature/Api/V1/ProfileTest.php","yes","BACKEND_IMPLEMENTATION_REPORT.md","PASS",""
"PUT","/api/v1/company","v1.company.update","App\Http\Controllers\Api\V1\Profile\CompanyController","update","Sanctum","EnsureUserIsActive","FormRequest/policy/service role checks","none","action-specific FormRequest or no body","FormRequest/policy/service authorization","CompanyService/domain services","not applicable/endpoint-specific","none","tests/Feature/Api/V1/ProfileTest.php","yes","BACKEND_IMPLEMENTATION_REPORT.md","PASS",""
"GET","/api/v1/cv","v1.cv.index","App\Http\Controllers\Api\V1\CV\CVController","index","Sanctum","EnsureUserIsActive","FormRequest/policy/service role checks","none","action-specific FormRequest or no body","FormRequest/policy/service authorization","CVService/domain services","expected; implementation-specific","none","tests/Feature/Api/V1/CVTest.php; tests/Feature/Api/V1/PrimaryCVTest.php","yes","BACKEND_IMPLEMENTATION_REPORT.md","PASS",""
"POST","/api/v1/cv/upload","v1.cv.upload","App\Http\Controllers\Api\V1\CV\CVController","upload","Sanctum","EnsureUserIsActive","FormRequest/policy/service role checks","none","action-specific FormRequest or no body","FormRequest/policy/service authorization","CVService/domain services","not applicable/endpoint-specific","none","tests/Feature/Api/V1/CVTest.php; tests/Feature/Api/V1/PrimaryCVTest.php","yes","BACKEND_IMPLEMENTATION_REPORT.md","PASS",""
"GET","/api/v1/cv/{cvFile}","v1.cv.show","App\Http\Controllers\Api\V1\CV\CVController","show","Sanctum","EnsureUserIsActive","FormRequest/policy/service role checks","none","action-specific FormRequest or no body","FormRequest/policy/service authorization","CVService/domain services","not applicable/endpoint-specific","none","tests/Feature/Api/V1/CVTest.php; tests/Feature/Api/V1/PrimaryCVTest.php","yes","BACKEND_IMPLEMENTATION_REPORT.md","PASS",""
"PATCH","/api/v1/cv/{cvFile}","v1.cv.update","App\Http\Controllers\Api\V1\CV\CVController","update","Sanctum","EnsureUserIsActive","FormRequest/policy/service role checks","none","action-specific FormRequest or no body","FormRequest/policy/service authorization","CVService/domain services","not applicable/endpoint-specific","none","tests/Feature/Api/V1/CVTest.php; tests/Feature/Api/V1/PrimaryCVTest.php","yes","BACKEND_IMPLEMENTATION_REPORT.md","PASS",""
"POST","/api/v1/cv/{cvFile}/archive","v1.cv.archive","App\Http\Controllers\Api\V1\CV\CVController","archive","Sanctum","EnsureUserIsActive","FormRequest/policy/service role checks","none","action-specific FormRequest or no body","FormRequest/policy/service authorization","CVService/domain services","not applicable/endpoint-specific","none","tests/Feature/Api/V1/CVTest.php; tests/Feature/Api/V1/PrimaryCVTest.php","yes","BACKEND_IMPLEMENTATION_REPORT.md","PASS",""
"POST","/api/v1/cv/{cvFile}/confirm","v1.cv.confirm","App\Http\Controllers\Api\V1\CV\CVController","confirm","Sanctum","EnsureUserIsActive","FormRequest/policy/service role checks","none","action-specific FormRequest or no body","FormRequest/policy/service authorization","CVService/domain services","not applicable/endpoint-specific","none","tests/Feature/Api/V1/CVTest.php; tests/Feature/Api/V1/PrimaryCVTest.php","yes","BACKEND_IMPLEMENTATION_REPORT.md","PASS",""
"GET","/api/v1/cv/{cvFile}/download","v1.cv.download","App\Http\Controllers\Api\V1\CV\CVController","download","Sanctum","EnsureUserIsActive","FormRequest/policy/service role checks","none","action-specific FormRequest or no body","FormRequest/policy/service authorization","CVService/domain services","not applicable/endpoint-specific","none","tests/Feature/Api/V1/CVTest.php; tests/Feature/Api/V1/PrimaryCVTest.php","yes","BACKEND_IMPLEMENTATION_REPORT.md","PASS",""
"POST","/api/v1/cv/{cvFile}/make-primary","v1.cv.make-primary","App\Http\Controllers\Api\V1\CV\CVController","makePrimary","Sanctum","EnsureUserIsActive","FormRequest/policy/service role checks","none","action-specific FormRequest or no body","FormRequest/policy/service authorization","CVService/domain services","not applicable/endpoint-specific","none","tests/Feature/Api/V1/CVTest.php; tests/Feature/Api/V1/PrimaryCVTest.php","yes","BACKEND_IMPLEMENTATION_REPORT.md","PASS",""
"GET","/api/v1/cv/{cvFile}/parsed","v1.cv.parsed","App\Http\Controllers\Api\V1\CV\CVController","parsed","Sanctum","EnsureUserIsActive","FormRequest/policy/service role checks","none","action-specific FormRequest or no body","FormRequest/policy/service authorization","CVService/domain services","not applicable/endpoint-specific","none","tests/Feature/Api/V1/CVTest.php; tests/Feature/Api/V1/PrimaryCVTest.php","yes","BACKEND_IMPLEMENTATION_REPORT.md","PASS",""
"POST","/api/v1/cv/{cvFile}/restore","v1.cv.restore","App\Http\Controllers\Api\V1\CV\CVController","restore","Sanctum","EnsureUserIsActive","FormRequest/policy/service role checks","none","action-specific FormRequest or no body","FormRequest/policy/service authorization","CVService/domain services","not applicable/endpoint-specific","none","tests/Feature/Api/V1/CVTest.php; tests/Feature/Api/V1/PrimaryCVTest.php","yes","BACKEND_IMPLEMENTATION_REPORT.md","PASS",""
"GET","/api/v1/cv/{cvFile}/suggestions","v1.cv.suggestions.index","App\Http\Controllers\Api\V1\Profile\ProfileSuggestionController","index","Sanctum","EnsureUserIsActive","FormRequest/policy/service role checks","none","action-specific FormRequest or no body","FormRequest/policy/service authorization","ProfileSuggestionService/domain services","expected; implementation-specific","none","tests/Feature/Api/V1/ProfileSuggestionTest.php","yes","BACKEND_IMPLEMENTATION_REPORT.md","PASS",""
